Model,R2_Score,Cross-Validation,MAE,MSE,RMSE,City
XGBoost Regression,0.9178525645155786,0.961943788585633,0.0770354482246673,0.030587187537089236,0.17489193102338724,Bengaluru
Support Vector Regression,0.9060773963250215,0.9424334018607878,0.11102512214556085,0.03497161263327669,0.18700698551999786,Bengaluru
Random Forest Regression,0.894939258558886,0.9253648779926593,0.09247243618763268,0.039118842630874485,0.1977848392341397,Bengaluru
Polynomial Regression(^2),0.8305709776455589,0.9350868086113004,0.10319871895626008,0.06308605071382618,0.25116936659120315,Bengaluru
Decision Tree Regression,0.8292242095413529,0.8696533102526217,0.11241063202531486,0.06358751309459804,0.2521656461427647,Bengaluru
K-Nearest Neighbors,0.796230257254435,0.8185494029707735,0.18680512347181621,0.07587264652863099,0.27544989840011014,Bengaluru
Linear Regression,0.7861483550749048,0.7837630454080625,0.19829754585473677,0.07962659247809842,0.2821818429277448,Bengaluru
XGBoost Regression,0.9552142262428515,0.9348045201416015,0.07674046048747346,0.02078560953014497,0.14417215240865683,Chennai
Random Forest Regression,0.9312832312514936,0.9083355617481257,0.10059878306206754,0.03189226853877317,0.17858406574712418,Chennai
Decision Tree Regression,0.873198901547176,0.85309285210325,0.10787929636129828,0.05884989583356651,0.24258997471776633,Chennai
Support Vector Regression,0.8717889774528456,0.8542735192196999,0.16271143479030636,0.05950425835169131,0.24393494696679136,Chennai
Polynomial Regression(^2),0.8669678687562838,0.7889288385545787,0.1486484132914907,0.06174179215902277,0.2484789571754976,Chennai
K-Nearest Neighbors,0.8433144750430641,0.8012587941785577,0.17905828394937504,0.0727196131173421,0.26966574331446347,Chennai
Linear Regression,0.7276859653980972,0.7398967816960909,0.2374002173981618,0.12638417778614525,0.35550552426951854,Chennai
XGBoost Regression,0.9496843949839957,0.93776987302005,0.1167882242021091,0.03310894894872718,0.18195864625987734,Delhi
Random Forest Regression,0.9443525602478056,0.9324495921013028,0.12220244821449562,0.03661743193382532,0.191356818362517,Delhi
Decision Tree Regression,0.9005136675256874,0.8837275895290843,0.15399174921117434,0.06546453932016519,0.25586039029159086,Delhi
Support Vector Regression,0.8950310131160649,0.8873660730825217,0.17961409758823002,0.06907226548968982,0.2628160297426506,Delhi
K-Nearest Neighbors,0.8874699632632899,0.8788375280349922,0.17752148874264181,0.07404762876902794,0.2721169395113578,Delhi
Linear Regression,0.8440935161270269,0.8253471787785227,0.2361096873472926,0.10259043518773021,0.32029741676718254,Delhi
Polynomial Regression(^2),0.8337299755514173,0.8199642352228764,0.21857495268694638,0.10940990870368576,0.33077168667176726,Delhi
XGBoost Regression,0.8809625407061095,0.9081342910798108,0.12230216915635393,0.0452052825132593,0.21261533931788482,Hyderabad
Random Forest Regression,0.8647235055096749,0.9012567822707875,0.12603708414622772,0.05137216626692879,0.2266542879959009,Hyderabad
Support Vector Regression,0.825848342210156,0.8312715611697075,0.17624504245418549,0.06613527319249839,0.25716779190345435,Hyderabad
K-Nearest Neighbors,0.8066907668940918,0.8493497440107113,0.17796565310998144,0.07341049235097864,0.2709437069779969,Hyderabad
Decision Tree Regression,0.7948347925314532,0.8406727680289935,0.15314001321983595,0.07791287902583055,0.2791287857348836,Hyderabad
Linear Regression,0.7471176315991226,0.7844559528827186,0.22517468335796778,0.09603379452144019,0.3098931985724117,Hyderabad
Polynomial Regression(^2),0.6138264410172489,0.6992952884846753,0.2086804724436414,0.1466520281642305,0.38295173085420375,Hyderabad
XGBoost Regression,0.8457988185662015,0.8341142818417634,0.19533746243609476,0.09601515178175615,0.30986311781455395,Mumbai
Random Forest Regression,0.8014735835710002,0.8304711050840561,0.22469838487398297,0.12361477278500647,0.3515889258566124,Mumbai
Support Vector Regression,0.7586653837942826,0.7154891416503757,0.27511821389728053,0.15026979423715978,0.38764648100706367,Mumbai
Decision Tree Regression,0.6585628973297172,0.6905711120794433,0.2556897738709189,0.21259976695369684,0.46108542262112,Mumbai
K-Nearest Neighbors,0.6532133043556241,0.6612946701319162,0.33281619537536905,0.2159307529850761,0.4646834976465983,Mumbai
Polynomial Regression(^2),0.6142626129571483,0.5591780793287103,0.32236889831204724,0.24018385216275387,0.4900855559621747,Mumbai
Linear Regression,0.5992389623253627,0.6618410532558461,0.35839463197121635,0.24953850225242433,0.49953828907544645,Mumbai
XGBoost Regression,0.9165419461036288,0.9039465160298341,0.12976589162300758,0.043407004683227716,0.20834347765943553,merged_df
Random Forest Regression,0.9120510223862556,0.8921628430337114,0.1252277408769561,0.04574275944542351,0.21387557000607504,merged_df
Decision Tree Regression,0.8420813286565553,0.8150631293142556,0.14510021573754076,0.08213439190764615,0.28659098364681007,merged_df
Support Vector Regression,0.8352338810590532,0.8157909062603507,0.18964534077985268,0.08569578803487904,0.29273842937830874,merged_df
Polynomial Regression(^2),0.7402497517873459,0.7241177499279782,0.23354677523962059,0.13509756954836555,0.3675562127734553,merged_df
K-Nearest Neighbors,0.7125841769457559,0.6662592564904434,0.25294887455106874,0.149486591106479,0.38663495846402585,merged_df
Linear Regression,0.6941328392245063,0.687096046692664,0.29165322635709523,0.15908323595363288,0.398852398706129,merged_df
